smiles,ccdid,description,sm_check,rd_smiles,res_smiles
C(CC(C(=O)O)N)CP(=O)(O)O,2JJ,5-phosphono-d-norvaline,True,NC(CCCP(=O)(O)O)C(=O)O,NC(C=O)CCCP(=O)(O)O
CCCCC(C)(C(=O)O)N,2JN,2-methyl-d-norleucine,True,CCCCC(C)(N)C(=O)O,CCCCC(C)(N)C=O
c1cc(ccc1C(=O)NCCCCC(C(=O)O)N)F,2KK,n~6~-(4-fluorobenzoyl)-l-lysine,True,NC(CCCCNC(=O)c1ccc(F)cc1)C(=O)O,NC(C=O)CCCCNC(=O)c1ccc(F)cc1
c1cc(ccc1C(=O)NCCCCC(C(=O)O)N)Br,2KP,n~6~-(4-bromobenzoyl)-l-lysine,True,NC(CCCCNC(=O)c1ccc(Br)cc1)C(=O)O,NC(C=O)CCCCNC(=O)c1ccc(Br)cc1
C1CCC(C1)C(C(=O)O)N,2KY,(2s)-amino(cyclopentyl)ethanoic acid,True,NC(C(=O)O)C1CCCC1,NC(C=O)C1CCCC1
C(=C(C(=O)O)N)C(=O)O,2KZ,2-amino maleic acid,True,NC(=CC(=O)O)C(=O)O,NC(C=O)=CC(=O)O
c1ccc(c(c1)CC(C(=O)O)N)Cl,2L5,2-chloro-l-phenylalanine,True,NC(Cc1ccccc1Cl)C(=O)O,NC(C=O)Cc1ccccc1Cl
c1c(cc(c(c1Cl)O)Cl)CC(C(=O)O)N,2LT,"3,5-dichloro-l-tyrosine",True,NC(Cc1cc(Cl)c(O)c(Cl)c1)C(=O)O,NC(C=O)Cc1cc(Cl)c(O)c(Cl)c1
CC(C)CC(C)(C(=O)O)N,2ML,2-methylleucine,True,CC(C)CC(C)(N)C(=O)O,CC(C)CC(C)(N)C=O
CN(C)C(CCSC)C(=O)O,2MM,"n,n-dimethyl-l-methionine",True,CSCCC(C(=O)O)N(C)C,CSCCC(C=O)N(C)C
CNC(=NC)NCCCC(C(=O)O)N,2MR,"n3, n4-dimethylarginine",True,CN=C(NC)NCCCC(N)C(=O)O,CN=C(NC)NCCCC(N)C=O
CC1(NC(CS1)C(=O)O)C,2MT,"(4r)-2,2-dimethyl-1,3-thiazolidine-4-carboxylic acid",True,CC1(C)NC(C(=O)O)CS1,CC1(C)NC(C=O)CS1
C(C(C(C(C(=O)O)N)O)O)NC(=[NH2+])N,2OR,"amino{[(2r,3r,4s)-4-amino-2,3,5-trihydroxy-5-oxopentyl]amino}methaniminium",True,N=C(N)NCC(O)C(O)C(N)C(=O)O,N=C(N)NCC(O)C(O)C(N)C=O
C1CC(N(C1)C(=O)COP(=O)(O)OP(=O)(O)O)C(=O)O,2P0,1-({[(s)-hydroxy(phosphonooxy)phosphoryl]oxy}acetyl)-l-proline,True,O=C(O)C1CCCN1C(=O)COP(=O)(O)OP(=O)(O)O,O=CC1CCCN1C(=O)COP(=O)(O)OP(=O)(O)O
CCCC(C(=O)O)N,2PI,2-amino-pentanoic acid,True,CCCC(N)C(=O)O,CCCC(N)C=O
CNC(=O)CCC(CC(C(=O)O)N)C(=O)O,2QD,(4r)-4-[3-(methylamino)-3-oxopropyl]-l-glutamic acid,True,CNC(=O)CCC(CC(N)C(=O)O)C(=O)O,CNC(=O)CCC(CC(N)C=O)C(=O)O
COC(=O)CCC(CC(C(=O)O)N)C(=O)O,2QE,"(2s,4r)-4-(3-methoxy-3-oxopropyl) glutamic acid",True,COC(=O)CCC(CC(N)C(=O)O)C(=O)O,COC(=O)CCC(CC(N)C=O)C(=O)O
CNC(=Cc1ccc(cc1)O)C(=O)O,2QY,(2z)-3-(4-hydroxyphenyl)-2-(methylamino)prop-2-enoic acid,True,CNC(=Cc1ccc(O)cc1)C(=O)O,CNC(C=O)=Cc1ccc(O)cc1
CC(C(C(=O)O)N(C)C)O,2QZ,"n,n-dimethyl-l-threonine",True,CC(O)C(C(=O)O)N(C)C,CC(O)C(C=O)N(C)C
C1C(O1)C(=C(C(=O)O)N)CO,2R1,(2e)-2-amino-4-hydroxy-3-[(2r)-oxiran-2-yl]but-2-enoic acid,True,NC(C(=O)O)=C(CO)C1CO1,NC(C=O)=C(CO)C1CO1
COc1ccc(cc1)C(C(C(=O)O)N)O,2R3,(betar)-beta-hydroxy-o-methyl-l-tyrosine,True,COc1ccc(C(O)C(N)C(=O)O)cc1,COc1ccc(C(O)C(N)C=O)cc1
C(C(C(=O)O)N)N,2RA,3-amino-d-alanine,True,NCC(N)C(=O)O,NCC(N)C=O
C(C(C(=O)O)N)OP(=O)(O)S,2RX,o-thiophosphono-l-serine,True,NC(COP(=O)(O)S)C(=O)O,NC(C=O)COP(=O)(O)S
c1ccc(cc1)CCCCCCCCn2c[n+](cc2CC(C(=O)O)N)CCC(CO)O,2SO,"3-{3-[(3r)-3,4-dihydroxybutyl]-1-(8-phenyloctyl)-1h-imidazol-3-ium-5-yl}-l-alanine",True,NC(Cc1c[n+](CCC(O)CO)cn1CCCCCCCCc1ccccc1)C(=O)O,NC(C=O)Cc1c[n+](CCC(O)CO)cn1CCCCCCCCc1ccccc1
C1CC(N2C1CC2=O)C(=O)O,2TQ,"(2s,5s)-7-oxo-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",True,O=C(O)C1CCC2CC(=O)N21,O=CC1CCC2CC(=O)N12
c1ccc(cc1)CC=Nc2cc(c(cc2O)O)CC(C(=O)O)N,2TY,2-hydroxy-5-{[(1e)-2-phenylethylidene]amino}-l-tyrosine,True,NC(Cc1cc(N=CCc2ccccc2)c(O)cc1O)C(=O)O,NC(C=O)Cc1cc(N=CCc2ccccc2)c(O)cc1O
